,dayofweek,mintemp,maxtemp,rain
161,4,72.0,89.1,0.0
217,4,54.0,86.0,0.0
41,6,53.1,64.4,1.16
198,5,66.0,87.1,0.12
97,1,57.9,72.0,0.2
23,3,41.0,55.0,0.0
313,6,33.8,46.9,0.02
319,7,30.2,39.0,0.25
90,1,57.2,64.4,0.0
326,1,26.1,36.0,0.01
32,1,37.9,46.9,0.03
81,3,48.9,64.9,0.0
364,5,27.0,39.0,0.0
245,5,46.9,75.9,0.0
231,4,51.1,71.1,0.0
332,1,30.0,55.0,0.0
185,1,69.1,87.1,0.0
194,7,64.0,84.9,0.0
178,1,64.9,87.1,0.0
144,3,75.0,89.1,0.0
236,2,48.9,73.9,0.08
359,3,17.6,28.9,0.0
39,3,39.0,43.0,0.0
330,4,14.0,39.9,0.0
81,7,51.8,62.1,0.13
202,5,59.0,75.9,0.01
172,7,70.0,86.0,0.0
26,7,43.0,52.0,0.0
210,4,62.1,84.9,0.06
64,6,42.1,57.9,1.32
189,4,69.1,84.0,0.0
146,6,69.1,82.0,0.0
52,4,46.9,70.0,0.0
5,7,50.0,64.0,0.03
276,1,41.0,55.0,1.97
97,5,57.9,70.0,0.02
331,5,42.1,57.9,0.69
95,1,55.9,70.0,0.0
17,2,51.1,62.1,0.0
36,4,33.1,48.9,0.0
115,4,71.6,86.0,0.01
130,1,70.0,84.0,0.0
177,5,77.0,96.1,0.0
149,5,68.0,84.0,0.0
2,5,34.0,48.0,0.0
143,2,70.0,84.0,0.0
